,yoji,yj_pos,yj_reading,j1,j1_Index,j1_Strokes,j1_Meanings,j1_Readings,j1_krad,j1_Kanji,j1_Grade,j1_Kanji Classification,j1_JLPT-test,j1_Kanji Frequency with Proper Nouns,j1_Kanji Frequency without Proper Nouns,j1_Symmetry,j2,j2_Index,j2_Strokes,j2_Meanings,j2_Readings,j2_krad,j2_Kanji,j2_Grade,j2_Kanji Classification,j2_JLPT-test,j2_Kanji Frequency with Proper Nouns,j2_Kanji Frequency without Proper Nouns,j2_Symmetry,j3,j3_Index,j3_Strokes,j3_Meanings,j3_Readings,j3_krad,j3_Kanji,j3_Grade,j3_Kanji Classification,j3_JLPT-test,j3_Kanji Frequency with Proper Nouns,j3_Kanji Frequency without Proper Nouns,j3_Symmetry,j4,j4_Index,j4_Strokes,j4_Meanings,j4_Readings,j4_krad,j4_Kanji,j4_Grade,j4_Kanji Classification,j4_JLPT-test,j4_Kanji Frequency with Proper Nouns,j4_Kanji Frequency without Proper Nouns,j4_Symmetry,bg1,bg1_Meanings,bg1_Readings,bg2,bg2_Meanings,bg2_Readings
4881,見兔放犬,[],けんとほうけん,見,2170,7,"[' looking/viewing (please) try (to),', ' view (of life, etc.)/outlook]']","['み', 'けん']","['見', '目', '儿']",['見'],[1],['象形 Pictographic'],[5],[719042],[688417],['P'],兔,179,8,[' rabbit/hare/coney/cony/lagomorph (esp. leporids)]'],['うさぎ'],"['免', '丶', '儿']",,,,,,,,放,1035,8,[],[],"['方', '攵']",['放'],[3],['会意 Com. Ideographic'],[3],[153676],[147578],['R'],犬,1509,4,[' dog (Canis (lupus) familiaris) squealer/rat/snitch/informer/informant/spy loser/asshole counterfeit/inferior/useless/wasteful]'],['いぬ'],"['犬', '大', '丶']",['犬'],[1],['象形 Pictographic'],[4],[19546],[17022],['P'],見兔,[],[],見兔,[],[]
4883,狡兔三窟,[],こうとさんくつ,狡,1516,9,[' cunning deed/sly trick/foul play cunning person/sly fellow/cheat]'],['ずる'],"['犭', '父', '亠']",,,,,,,,兔,179,8,[' rabbit/hare/coney/cony/lagomorph (esp. leporids)]'],['うさぎ'],"['免', '丶', '儿']",,,,,,,,三,7,3,"[' three tri-, サン', ' three]']",['さん'],"['一', '二']",['三'],[1],['指事 Ideographic'],[5],[304749],[151259],['R'],窟,1749,13,"[' cavern/grotto,', ' caves dug as tombs in and around Kamakura during the Kamakura and Muromachi periods]']","['いわや', 'やぐら']","['｜', '穴', '山', '儿', '宀', '尸']",['窟'],[7],['形声 Phonetic'],[0],[822],[822],['P'],狡兔,[],[],狡兔,[],[]
4886,烏兎怱怱,[],うとそうそう,烏,1459,10,[' crow (Corvus spp.)/raven]'],['からす'],"['鳥', '灬']",,,,,,,,兎,177,8,[' rabbit/hare/coney/cony/lagomorph (esp. leporids)]'],['うさぎ'],"['ノ', '丶', '儿', '口', '｜']",,,,,,,,怱,813,9,[],[],"['ノ', '心', '丶', '勿', '勹']",,,,,,,,怱,813,9,[],[],"['ノ', '心', '丶', '勿', '勹']",,,,,,,,烏兎,[' sun and moon time/the years/the months]'],['うと'],烏兎,[' sun and moon time/the years/the months]'],['うと']
4887,烏兔怱怱,[],うとそうそう,烏,1459,10,[' crow (Corvus spp.)/raven]'],['からす'],"['鳥', '灬']",,,,,,,,兔,179,8,[' rabbit/hare/coney/cony/lagomorph (esp. leporids)]'],['うさぎ'],"['免', '丶', '儿']",,,,,,,,怱,813,9,[],[],"['ノ', '心', '丶', '勿', '勹']",,,,,,,,怱,813,9,[],[],"['ノ', '心', '丶', '勿', '勹']",,,,,,,,烏兔,[],[],烏兔,[],[]
4888,東窺西望,[],とうきせいぼう,東,1161,8,"[' eastern Japan (esp. Kamakura or Edo, from perspective of Kyoto or Nara)/eastern provinces east wagon/yamatogoto/six-stringed native Japanese zither my spouse,', ' east, トン', ' east wind tile winning hand with a pung (or kong) of east wind tiles]']","['あずま', 'ひがし']","['｜', '一', '日', '木', '田']",['東'],[2],['仮借 Loan'],[5],[710300],[58910],['R'],窺,1751,16,[],[],"['見', 'ハ', '宀', '一', '大', '穴']",,,,,,,,西,2165,6,"[' west,', ' Spain Spanish (language), シャー', ' west wind tile winning hand with a pung (or kong) of west wind tiles]']","['にし', 'せい']",['西'],['西'],[2],['仮借 Loan'],[5],[215897],[54683],['R'],望,1136,11,[' full moon 15th day of the lunar month]'],['もち'],"['王', '亡', '月']",['望'],[4],['形声 Phonetic'],[3],[89684],[84277],['P'],東窺,[],[],東窺,[],[]
4889,桃李成蹊,[],とうりせいけい,桃,1199,10,[' peach (Prunus persica)]'],['もも'],"['木', '儿', '冫']",['桃'],[7],['形声 Phonetic'],[1],[4926],[1627],['S'],李,1149,7,[' Japanese plum (Prunus salicina)/Chinese plum]'],['すもも'],"['子', '木']",,,,,,,,成,903,6,[],[],"['ノ', '戈']",['成'],[4],['会意 Com. Ideographic'],[3],[362233],[314970],['S'],蹊,2336,17,[],[],"['口', '足', '大', '爪', '幺']",,,,,,,,桃李,"["" peach and plum person of one's recommendation]""]",['とうり'],桃李,"["" peach and plum person of one's recommendation]""]",['とうり']
4892,桃源洞裡,[],とうげんどうり,桃,1199,10,[' peach (Prunus persica)]'],['もも'],"['木', '儿', '冫']",['桃'],[7],['形声 Phonetic'],[1],[4926],[1627],['S'],源,1398,13,"[' source (of a river)/fountainhead source/origin/root,', ' source/origin]']","['みなもと', 'げん']","['氵', '小', '白', '厂']",['源'],[6],['形声 Phonetic'],[1],[57244],[52338],['P'],洞,1334,9,"[' hollow/cavity/hole/cave,', ' cavity/hollow/void hollow (voice, smile, etc.)/blank (eyes, look, etc.)/vacant (expression, stare, etc.)/empty (words, heart, etc.),', ' hollow/cavity/hole,', ' sinus/cavity/antrum neighborhood (administrative division in North Korea)]']","['ほら', 'うつろ', 'ろ', 'うろ', 'どう']","['口', '氵', '冂', '一']",['洞'],[7],['形声 Phonetic'],[1],[5744],[3357],['S'],裡,2149,12,[' in (e.g. secret)/with (e.g. success)]'],['り'],"['衤', '里']",,,,,,,,桃源,[' earthly paradise/Shangri-la]'],['とうげん'],桃源,[' earthly paradise/Shangri-la]'],['とうげん']
4894,燕頷投筆,[],えんがんとうひつ,燕,1480,16,[' swallow (bird of the Hirundinidae family)/martin barn swallow (Hirundo rustica) younger man involved with an older woman/boy toy]'],['つばめ'],"['口', '匕', '灬', '爿', '⺾']",,,,,,,,頷,2608,16,[],[],"['貝', '目', 'ハ', '口', '頁', '𠆢']",,,,,,,,投,932,7,[' pitching ability counter for pitches]'],['とう'],"['扌', '殳', '几', '又']",['投'],[3],['会意 Com. Ideographic'],[3],[259057],[258997],['R'],筆,1767,12,[' writing brush/paintbrush/pen writing with a brush/drawing with a brush/penmanship/something drawn with a brush writing (composing text)/the written word (land) lot/plot]'],['ふで'],"['竹', '聿']",['筆'],[3],['会意 Com. Ideographic'],[2],[25147],[25031],['P'],燕頷,[],[],燕頷,[],[]
4896,朋党比周,[],ほうとうひしゅう,朋,1132,8,[' friend/companion/comrade/pal accompaniment/companion (e.g. book)/complement/accessory]'],['とも'],['月'],,,,,,,,党,180,10,"[' party (political) person who is fond of/fan of,', ' gathering/place where people gather police station/camp/barracks]']","['とう', 'たむろ']","['口', '⺌', '儿', '冖']",['党'],[6],['形声 Phonetic'],[2],[495041],[269334],['S'],比,1282,4,"[' ratio/proportion match/equal explicit comparison (style of the Shi Jing) Philippines in comparison with ...,', ' (approximate) time/around/about/toward suitable time (or condition) time of year/season,', ' kind/sort/type equal/match/peer,', ' time/period/days]']","['ひ', 'ころ', 'たぐい', 'い', 'ころおい', 'おい']",['比'],['比'],[5],['会意 Com. Ideographic'],[2],[122659],[113113],['S'],周,364,8,"[' Zhou dynasty (China, approx. 1046-256 BCE)/Chou dynasty perimeter counter for laps or circuits]']",['しゅう'],"['口', '土', '冂']",['周'],[4],['会意 Com. Ideographic'],[2],[74380],[67477],['R'],朋党,[' faction/clique]'],['ほうとう'],朋党,[' faction/clique]'],['ほうとう']
4897,狡兔良狗,[],こうとりょうく,狡,1516,9,[' cunning deed/sly trick/foul play cunning person/sly fellow/cheat]'],['ずる'],"['犭', '父', '亠']",,,,,,,,兔,179,8,[' rabbit/hare/coney/cony/lagomorph (esp. leporids)]'],['うさぎ'],"['免', '丶', '儿']",,,,,,,,良,1998,7,"[' good (quality, condition, etc.) Good (grade)/B]']",['りょう'],['艮'],['良'],[4],['象形 Pictographic'],[3],[117671],[69894],['S'],狗,1515,8,"[' dog (Canis (lupus) familiaris) squealer/rat/snitch/informer/informant/spy loser/asshole counterfeit/inferior/useless/wasteful,', ' puppy]']","['いぬ', 'えのこ']","['口', '犭', '勹']",,,,,,,,狡兔,[],[],狡兔,[],[]
4901,有卦七年,[],うけしちねん,有,1131,6,"[' existence possession/having limited company,', ' bhava (becoming, existence)]']","['ゆう', 'う']","['ノ', '一', '月']",['有'],[3],['会意 Com. Ideographic'],[4],[180920],[159897],['R'],卦,299,8,[' divination sign]'],['け'],"['土', '卜']",,,,,,,,七,4,2,"[' seven hepta-, チー', ' seven]']",['しち'],"['乙', '匕', 'ノ']",['七'],[1],['仮借 Loan'],[5],[55012],[51124],['R'],年,710,6,"["" year age/years past one's prime/old age,"", "" year counter for years (e.g. of an era), grades (e.g. school) period of an apprentice's contract (usu. ten years),"", ' counter for years (following a number in the hito-futa-mi counting system)]']","['とし', 'ねん', 'とせ']","['ノ', '一', '干']",['年'],[1],['会意 Com. Ideographic'],[5],[1812728],[1811312],['S'],有卦,[' streak of good luck]'],['うけ'],有卦,[' streak of good luck]'],['うけ']
4904,熱烈峻厳,[],ねつれつしゅんげん,熱,1477,15,"[' heat fever/temperature zeal/passion/enthusiasm/mania/craze/rage,', ' fever]']","['ねつ', 'ねち']","['土', '九', '丶', '儿', '灬']",['熱'],[4],['会意 Com. Ideographic'],[3],[52483],[50849],['S'],烈,1458,10,[],[],"['刂', '灬', '歹']",['烈'],[7],['会意 Com. Ideographic'],[1],[8297],[7895],['S'],峻,669,10,[],[],"['山', '儿', '厶', '夂']",,,,,,,,厳,313,17,[' strict/stern]'],['げん'],"['耳', '⺌', '厂', '攵']",['厳'],[6],['形声 Phonetic'],[1],[60693],[60374],['S'],熱烈,[' ardent/passionate/vehement]'],['ねつれつ'],熱烈,[' ardent/passionate/vehement]'],['ねつれつ']
4906,狂悖暴戻,[],きょうはいぼうれい,狂,1512,7,[' (some type of) enthusiast somebody possessed of a (certain kind of) mental abnormality]'],['きょう'],"['王', '犭']",['狂'],[7],['形声 Phonetic'],[1],[11005],[10950],['R'],悖,835,10,[],[],"['子', '十', '忄', '冖']",,,,,,,,暴,1118,15,[' violence/force]'],['ぼう'],"['｜', '一', '水', '二', '日', 'ハ', '井']",['暴'],[5],['会意 Com. Ideographic'],[2],[43965],[43965],['R'],戻,914,7,[],[],"['戸', '大', '一', '尸']",['戻'],[7],['会意 Com. Ideographic'],[3],[50784],[50783],['.'],狂悖,[' conduct that is immoral and lacking in common sense]'],['きょうはい'],狂悖,[' conduct that is immoral and lacking in common sense]'],['きょうはい']
4908,堯風舜雨,[],ぎょうふうしゅんう,堯,479,12,[],[],"['土', '儿', '一']",,,,,,,,風,2623,9,"["" swing/shake/wave/swinging appearance/behaviour pretence (pretense)/show/pretending (to) going to restaurant, hotel etc. without a reservation or introduction move (dance)/postures lead in (e.g. to a running joke, asking a question)/lead up unsewn part of a hanging sleeve on a traditional Japanese woman's garment counter for swords, blades, etc. not wearing underwear or pants,"", ' wind/breeze/draught/draft manner/behaviour/behavior cold/influenza,', ' method/manner/way/style appearance/air tendency folk song (genre of the Shi Jing) wind (one of the five elements)]']","['ふり', 'り', 'かぜ', 'ふう']","['風', '冂', '虫', 'ノ']",['風'],[2],['形声 Phonetic'],[4],[98812],[95284],['S'],舜,1990,13,[],[],"['牛', '舛', '爪', '夕', '冖']",,,,,,,,雨,2562,8,[' rain rainy day/rainy weather the November suit (in hanafuda)]'],['あめ'],['雨'],['雨'],[1],['象形 Pictographic'],[5],[27122],[26169],['S'],堯風,[],[],堯風,[],[]
4909,輪廻応報,[],りんねおうほう,輪,2363,15,"[' counter for wheels and flowers,', ' ring/circle/loop hoop wheel circle (e.g. of friends)]']","['りん', 'わ']","['｜', '一', '車', '𠆢', '冊']",['輪'],[4],['形声 Phonetic'],[2],[102226],[98602],['P'],廻,737,9,[],[],"['口', '囗', '廴']",,,,,,,,応,794,7,[' agreement/affirmative aye/yes/OK/okay/yeah/all right]'],['おう'],"['心', '广']",['応'],[5],['形声 Phonetic'],[1],[174232],[167368],['S'],報,480,12,[' information/news/report reward/retribution]'],['ほう'],"['十', '辛', '土', '又', '立', '亠', '卩']",['報'],[5],['会意 Com. Ideographic'],[3],[362295],[352707],['P'],輪廻,[' samsara/cycle of death and rebirth being reborn/reincarnation]'],['りんね'],輪廻,[' samsara/cycle of death and rebirth being reborn/reincarnation]'],['りんね']
4911,蛇行匍匐,[],だこうほふく,蛇,2092,11,[' snake serpent/large snake]'],['へび'],"['虫', '匕', '宀']",['蛇'],[7],['形声 Phonetic'],[1],[2437],[2159],['S'],行,2122,6,"[' line (of text)/row/verse carya (austerities) samskara (formations) semi-cursive style (of writing Chinese characters)/running style,', "" going/travelling/traveling/journey/trip act/action bank counter for banks counter for groups or parties of people type of classical Chinese verse (usu. an epic from the Tang period onwards) shopping district (of similar merchants; in the Sui and Tang periods) merchants' guild (in the Tang period)]""]","['ぎょう', 'こう']","['行', '彳']",['行'],[2],['象形 Pictographic'],[5],[750313],[708761],['P'],匍,278,9,[],[],"['十', '用', '丶', '勹']",,,,,,,,匐,279,11,[],[],"['一', '口', '田', '勹']",,,,,,,,蛇行,[' meandering/snaking/zigzagging]'],['だこう'],蛇行,[' meandering/snaking/zigzagging]'],['だこう']
4912,博学才穎,[],はくがくさいえい,博,298,12,[' doctor/PhD exposition/fair/exhibition]'],['はく'],"['十', '寸', '田', '丶']",['博'],[4],['形声 Phonetic'],[1],[64841],[29145],['R'],学,577,8,[' learning/scholarship/study/erudition/knowledge/education study of .../-ology/-ics]'],['がく'],"['子', '⺌', '冖']",['学'],[1],['会意 Com. Ideographic'],[5],[634688],[569326],['P'],才,920,3,"[' -years-old,', ' ability/gift/talent/aptitude/genius sai/traditional unit of volume, approx.8 ml]']","['さい', 'さい']","['ノ', '一', '亅']",['才'],[2],['象形 Pictographic'],[3],[10298],[9723],['S'],穎,1732,16,[' awn/glume]'],['えい'],"['禾', '貝', '目', 'ハ', '頁', '匕']",,,,,,,,博学,[' erudition/extensive learning]'],['はくがく'],博学,[' erudition/extensive learning]'],['はくがく']
4916,哀鴻遍野,[],あいこうへんや,哀,380,9,[' pity/sorrow/grief/misery]'],['あい'],"['衣', '口', '亠']",['哀'],[7],['会意 Com. Ideographic'],[1],[4792],[4651],['R'],鴻,2711,17,"[' bean goose (Anser fabalis),', ' large bird peng (in Chinese mythology, giant bird said to transform from a fish) fenghuang (Chinese phoenix)]']","['ひしくい', 'おおとり']","['工', '氵', '鳥', '灬']",,,,,,,,遍,2412,12,[' number of times]'],['へん'],"['｜', '一', '戸', '辶', '冂', '冊', '尸']",['遍'],[7],['形声 Phonetic'],[1],[2703],[2696],['S'],野,2459,11,[' plain/field hidden (structural) member wild lacking a political post]'],['の'],"['矛', '里', '亅']",['野'],[2],['形声 Phonetic'],[4],[522054],[251945],['R'],哀鴻,[],[],哀鴻,[],[]
4917,粟散辺土,[],ぞくさんへんど,粟,1799,12,"[' foxtail millet (Setaria italica)/Italian millet (also Hungarian, German),', ' millet/grain stipend in rice 10,000th of a shaku]']","['あわ', 'ぞく']","['西', '米']",,,,,,,,散,1044,12,[' loose articles (not packaged with other things)/bulk items/individual items coins/small change]'],['ばら'],"['｜', '月', '攵']",['散'],[4],['会意 Com. Ideographic'],[3],[44313],[44295],['S'],辺,2377,5,"[' area/vicinity/region side/edge circumstances,', ' surrounding area shore (of the sea) suffix used as a rough indicator of location, direction, time, etc.,', ' side (esp. of a waterbody)/edge/bank/shore,', ' neighbourhood/vicinity/nearby]']","['へん', 'へ', 'ほとり', 'わたり', 'り']","['辶', '刀']",['辺'],[4],['形声 Phonetic'],[2],[73599],[38719],['P'],土,450,3,"[' earth/soil/dirt/clay/mud the earth (historically, esp. as opposed to the heavens)/the ground/the land low-quality torinoko-gami (containing mud) (period of) refraining from construction in the direction of the god of the earth (in Onmyōdō),', ' Saturday earth/dirt/soil land/lands/ground earth (third of the five elements),', ' soil (esp. reddish soil),', ' Turkey]']","['つち', 'ど', 'に', 'と']",['土'],['土'],[1],['象形 Pictographic'],[5],[122433],[96642],['S'],粟散,[],[],粟散,[],[]
4921,見風使舵,[],けんぷうしだ,見,2170,7,"[' looking/viewing (please) try (to),', ' view (of life, etc.)/outlook]']","['み', 'けん']","['見', '目', '儿']",['見'],[1],['象形 Pictographic'],[5],[719042],[688417],['P'],風,2623,9,"["" swing/shake/wave/swinging appearance/behaviour pretence (pretense)/show/pretending (to) going to restaurant, hotel etc. without a reservation or introduction move (dance)/postures lead in (e.g. to a running joke, asking a question)/lead up unsewn part of a hanging sleeve on a traditional Japanese woman's garment counter for swords, blades, etc. not wearing underwear or pants,"", ' wind/breeze/draught/draft manner/behaviour/behavior cold/influenza,', ' method/manner/way/style appearance/air tendency folk song (genre of the Shi Jing) wind (one of the five elements)]']","['ふり', 'り', 'かぜ', 'ふう']","['風', '冂', '虫', 'ノ']",['風'],[2],['形声 Phonetic'],[4],[98812],[95284],['S'],使,103,8,"[' messenger police and judicial chief (Heian and Kamakura periods) klesha (polluting thoughts such as greed, hatred and delusion, which result in suffering)]']",['し'],"['ノ', '一', '⺅', '口']",['使'],[3],['形声 Phonetic'],[4],[207502],[207147],['S'],舵,1995,11,[' rudder/helm]'],['かじ'],"['舟', '匕', '宀']",,,,,,,,見風,[],[],見風,[],[]
4926,粟粒芥顆,[],ぞくりゅうかいか,粟,1799,12,"[' foxtail millet (Setaria italica)/Italian millet (also Hungarian, German),', ' millet/grain stipend in rice 10,000th of a shaku]']","['あわ', 'ぞく']","['西', '米']",,,,,,,,粒,1796,11,"[' grain/bead/drop counter for small round objects including grains, seeds, pills, drops]']",['つぶ'],"['米', '立']",['粒'],[7],['形声 Phonetic'],[2],[5789],[5789],['S'],芥,2005,7,"[' rubbish/trash/garbage/refuse,', ' trash/rubbish/garbage]']","['ごみ', 'ごもく']","['𠆢', '⺾', '儿']",,,,,,,,顆,2613,17,[' condyle counter for grains and small spheres]'],['か'],"['｜', '貝', '目', 'ハ', '田', '日', '頁', '木']",,,,,,,,粟粒,[' millet grain something extremely tiny]'],['あわつぶ'],粟粒,[' millet grain something extremely tiny]'],['あわつぶ']
4933,混水摸魚,[],こんすいもぎょ,混,1372,11,[' (traffic) congestion]'],['こん'],"['氵', '日', '比']",['混'],[5],['形声 Phonetic'],[2],[36692],[36692],['R'],水,1288,4,"[' water (esp. cool, fresh water, e.g. drinking water) fluid (esp. in an animal tissue)/liquid flood/floodwaters water offered to wrestlers just prior to a bout break granted to wrestlers engaged in a prolonged bout,', ' Wednesday shaved ice (served with flavored syrup) water (fifth of the five elements)]']","['みず', 'すい']",['水'],['水'],[1],['象形 Pictographic'],[5],[230561],[158842],['S'],摸,1009,13,[],[],"['大', '日', '扌', '⺾']",,,,,,,,魚,2686,11,[' fish]'],['さかな'],"['魚', '田', '灬']",['魚'],[2],['象形 Pictographic'],[4],[17300],[14588],['S'],混水,[],[],混水,[],[]
4938,竜攘虎視,[],りゅうじょうこし,竜,1753,10,[' dragon (esp. a Chinese dragon) naga/semi-divine human-cobra chimera in Hindu and Buddhist mythology promoted rook]'],['りゅう'],"['立', '竜', '田', '乙']",['竜'],[7],['象形 Pictographic'],[1],[19009],[9853],['S'],攘,1028,20,[],[],"['衣', '二', 'ハ', '亠', '扌']",,,,,,,,虎,2083,8,[' tiger (Panthera tigris) drunkard/drunk/sot]'],['とら'],"['卜', '儿', '匕', '厂', '虍']",['虎'],[7],['象形 Pictographic'],[1],[5877],[2832],['S'],視,2172,11,[' viewing as .../seeing as .../treating as .../regarding as ...]'],['し'],"['見', '礻']",['視'],[6],['形声 Phonetic'],[1],[136691],[114421],['P'],竜攘,[],[],竜攘,[],[]
4939,竜攘虎摶,[],りゅうじょうこはく,竜,1753,10,[' dragon (esp. a Chinese dragon) naga/semi-divine human-cobra chimera in Hindu and Buddhist mythology promoted rook]'],['りゅう'],"['立', '竜', '田', '乙']",['竜'],[7],['象形 Pictographic'],[1],[19009],[9853],['S'],攘,1028,20,[],[],"['衣', '二', 'ハ', '亠', '扌']",,,,,,,,虎,2083,8,[' tiger (Panthera tigris) drunkard/drunk/sot]'],['とら'],"['卜', '儿', '匕', '厂', '虍']",['虎'],[7],['象形 Pictographic'],[1],[5877],[2832],['S'],摶,1008,14,[],[],"['十', '寸', '虫', '日', '厶', '扌']",,,,,,,,竜攘,[],[],竜攘,[],[]
4940,蛟竜雲雨,[],こうりょううんう,蛟,2096,12,[' mizuchi/mythical dragon-like beast]'],['みずち'],"['虫', '父', '亠']",,,,,,,,竜,1753,10,[' dragon (esp. a Chinese dragon) naga/semi-divine human-cobra chimera in Hindu and Buddhist mythology promoted rook]'],['りゅう'],"['立', '竜', '田', '乙']",['竜'],[7],['象形 Pictographic'],[1],[19009],[9853],['S'],雲,2564,12,[' cloud]'],['くも'],"['一', '雨', '二', '厶']",['雲'],[2],['形声 Phonetic'],[2],[12988],[8889],['S'],雨,2562,8,[' rain rainy day/rainy weather the November suit (in hanafuda)]'],['あめ'],['雨'],['雨'],[1],['象形 Pictographic'],[5],[27122],[26169],['S'],蛟竜,"[' mizuchi/mythical dragon-like beast, believed to ascend to the heavens through rain unfulfilled genius/dormant talent]']",['こうりょう'],蛟竜,"[' mizuchi/mythical dragon-like beast, believed to ascend to the heavens through rain unfulfilled genius/dormant talent]']",['こうりょう']
4942,雲蒸龍変,[],うんじょうりゅうへん,雲,2564,12,[' cloud]'],['くも'],"['一', '雨', '二', '厶']",['雲'],[2],['形声 Phonetic'],[2],[12988],[8889],['S'],蒸,2048,13,[],[],"['ノ', '一', '亅', '灬', '⺾']",['蒸'],[6],['形声 Phonetic'],[2],[4537],[4537],['R'],龍,2745,16,[' dragon (esp. a Chinese dragon) naga/semi-divine human-cobra chimera in Hindu and Buddhist mythology promoted rook]'],['りゅう'],"['月', '立']",,,,,,,,変,505,9,[' strange/odd/peculiar/weird/curious/queer/eccentric/funny/suspicious/fishy unexpected change incident/disturbance/disaster/accident flat]'],['へん'],"['亠', '夂']",['変'],[4],['会意 Com. Ideographic'],[3],[183042],[183042],['R'],雲蒸,[],[],雲蒸,[],[]
4945,汲流知源,[],きゅうりゅうちげん,汲,1302,7,[],[],"['ノ', '氵', '及']",,,,,,,,流,1341,10,"[' fashion/way/style/manner school (of thought) class/rank/rate current (electrical, water, etc.)/flow/stream,', ' exile,', ' counter for flags, banners, etc.]']","['りゅう', 'る', 'りゅう']","['氵', '川', '亠', '厶']",['流'],[3],['会意 Com. Ideographic'],[3],[161604],[159853],['S'],知,1662,8,[' wisdom jnana (higher knowledge)]'],['ち'],"['口', '矢']",['知'],[2],['会意 Com. Ideographic'],[4],[267746],[217178],['S'],源,1398,13,"[' source (of a river)/fountainhead source/origin/root,', ' source/origin]']","['みなもと', 'げん']","['氵', '小', '白', '厂']",['源'],[6],['形声 Phonetic'],[1],[57244],[52338],['P'],汲流,[],[],汲流,[],[]
4948,流汗滂沱,[],りゅうかんぼうだ,流,1341,10,"[' fashion/way/style/manner school (of thought) class/rank/rate current (electrical, water, etc.)/flow/stream,', ' exile,', ' counter for flags, banners, etc.]']","['りゅう', 'る', 'りゅう']","['氵', '川', '亠', '厶']",['流'],[3],['会意 Com. Ideographic'],[3],[161604],[159853],['S'],汗,1296,6,"[' sweat/perspiration moisture/condensation gulp/oops,', ' khan (medieval ruler of a Tatary tribe)]']","['あせ', 'かん']","['干', '氵']",['汗'],[7],['形声 Phonetic'],[2],[6422],[6421],['S'],滂,1405,13,[],[],"['氵', '并', '方', '立', '亠', '冖']",,,,,,,,沱,1313,8,[],[],"['氵', '匕', '宀']",,,,,,,,流汗,[' sweat]'],['りゅうかん'],流汗,[' sweat]'],['りゅうかん']
4949,確乎不動,[],かっこふどう,確,1680,15,"["" sure/certain/positive/definite reliable/trustworthy/safe/sound/firm/accurate/correct/exact If I'm not mistaken/If I remember correctly/If I remember rightly,"", ' certain/definite]']","['たしか', 'か', 'かく']","['口', '石', '宀', '隹']",['確'],[5],['形声 Phonetic'],[3],[178948],[178948],['R'],乎,23,5,[],[],"['ノ', '一', '并', '亅']",,,,,,,,不,10,4,"[' un-/non-/negative prefix,', ' un-/non- bad .../poor ...]']","['ふ', 'ぶ']","['｜', 'ノ', '一', '丶']",['不'],[4],['仮借 Loan'],[4],[379808],[375009],['R'],動,267,11,[' motion]'],['どう'],"['｜', '一', '日', '力', '里']",['動'],[3],['形声 Phonetic'],[4],[420292],[391265],['P'],確乎,[' firm/unshakeable/resolute]'],['かっこ'],確乎,[' firm/unshakeable/resolute]'],['かっこ']
4952,大厦高楼,[],たいかこうろう,大,513,3,"[' large/big/great/major/important/serious/heavy/loud older/senior final/ultimate rough/broad/general,', ' large/big/great/huge/vast/major/important/serious/severe great/prominent/eminent/distinguished -sized/as big as/the size of university large (e.g. serving size)/large option long month (i.e. having 31 days),', ' great/grand/large greater (of equal court ranks)/upper/senior a great deal/very much,', ' greater (of equal court ranks)/upper/senior a great deal/very much,', ' nth year in the Taishō era (1912.7.30-1926.12.25)]']","['おお', 'だい', 'おおき', 'き', 'おおい', 'い', 'たい']",['大'],['大'],[1],['象形 Pictographic'],[5],[1825235],[1224358],['R'],厦,310,12,[],[],"['一', '自', '厂', '夂']",,,,,,,,高,2672,10,"[' quantity/amount/volume/number/amount of money,', ' high high school]']","['たか', 'こう']","['口', '高', '亠', '冂']",['高'],[2],['会意 Com. Ideographic'],[5],[666356],[510050],['R'],楼,1225,13,[' tower/tall building/belvedere turret/lookout/watchtower brothel]'],['ろう'],"['女', '米', '木']",['楼'],[7],['形声 Phonetic'],[1],[1582],[1575],['S'],大厦,[],[],大厦,[],[]
4959,三豕渡河,[],さんしとか,三,7,3,"[' three tri-, サン', ' three]']",['さん'],"['一', '二']",['三'],[1],['指事 Ideographic'],[5],[304749],[151259],['R'],豕,2262,7,"[' pig (Sus scrofa domesticus) pork fatso/fatty,', ' hog (esp. a wild boar, but also including the domesticated pig),', ' wild boar infant wild boar pig]']","['ぶた', 'い', 'いのこ', 'の']",['豕'],,,,,,,,渡,1382,12,[],[],"['氵', '又', '广']",['渡'],[7],['形声 Phonetic'],[3],[90347],[53193],['R'],河,1314,8,"[' river/stream River/the ... river, ホー', ' discarded tiles/discards]']",['かわ'],"['口', '氵', '亅', '一']",['河'],[5],['形声 Phonetic'],[2],[50828],[12790],['S'],三豕,[],[],三豕,[],[]
4960,快馬加鞭,[],かいばかべん,快,796,7,[' pleasure/delight/enjoyment]'],['かい'],"['人', '大', '二', '忄']",['快'],[5],['形声 Phonetic'],[2],[29266],[29254],['S'],馬,2645,10,[' horse horse racing promoted bishop]'],['うま'],['馬'],['馬'],[2],['象形 Pictographic'],[3],[131850],[91370],['P'],加,255,5,[' addition/increase Canada]'],['か'],"['口', '力']",['加'],[4],['会意 Com. Ideographic'],[3],[293767],[246138],['R'],鞭,2588,18,[' whip/lash/scourge stick/cane/rod/pointer]'],['むち'],"['ノ', '一', '⺅', '革', '日', '田']",,,,,,,,快馬,[],[],快馬,[],[]
